id,timestamp,input,type,model,result,responseTime,grammarTeachingResult,responseSuggestionsResult
1765803825887-0.7792198272363867,1765803825887,"سلام",persian-to-english,qwen3:8b,"{""english_1"":""hello"",""persian_1"":""سلام"",""english_2"":"""",""persian_2"":"""",""english_3"":"""",""persian_3"":""""}",0,,
1765803830487-0.669126177595788,1765803830487,"سلام خوبی",persian-to-english,qwen3:8b,"{""english_1"":""good hello"",""persian_1"":""سلام خوبی"",""english_2"":"""",""persian_2"":"""",""english_3"":"""",""persian_3"":""""}",0,,
1765803838301-0.5139325780911211,1765803838301,"سلام خوبی؟",persian-to-english,qwen3:8b,"{""english_1"":""hello how are you"",""persian_1"":""سلام خوبی؟"",""english_2"":"""",""persian_2"":"""",""english_3"":"""",""persian_3"":""""}",0,,
1765803844675-0.6559713553713699,1765803844676,"سلام خوبی؟ چه خبرا؟",persian-to-english,qwen3:8b,"{""english_1"":""hello how are you what's up"",""persian_1"":""سلام خوبی؟ چه خبرا؟"",""english_2"":"""",""persian_2"":"""",""english_3"":"""",""persian_3"":""""}",0,,
1765803857186-0.3209317281510822,1765803857186,"سلام خوبی؟ چه خبرا؟چه کارا میکنی؟",persian-to-english,qwen3:8b,"{""english_1"":""hello how are you What's up? What are you doing?"",""persian_1"":""سلام خوبی؟ چه خبرا؟چه کارا میکنی؟"",""english_2"":"""",""persian_2"":"""",""english_3"":"""",""persian_3"":""""}",1,,
1765803875579-0.790245562575105,1765803875579,"سلام خوبی؟ چه خبرا؟چه کارا میکنی؟چه کمکی از دست من ساخته است؟",persian-to-english,qwen3:8b,"{""english_1"":""hello how are you What's up? What are you doing? How can I help you?"",""persian_1"":""سلام خوبی؟ چه خبرا؟چه کارا میکنی؟چه کمکی از دست من ساخته است؟"",""english_2"":"""",""persian_2"":"""",""english_3"":"""",""persian_3"":""""}",1,,
1765877038327-0.9417562096064807,1765877038328,"سلام",persian-to-english,google-translate,"{""english_1"":""hello"",""persian_1"":""سلام"",""english_2"":"""",""persian_2"":"""",""english_3"":"""",""persian_3"":""""}",1,,
1765887404172-0.5275997300070843,1765887404172,"i think i dont need this becuase Aria will send video recording for me",grammar,google/gemma-3-27b-it:free,"{""english_1"":""I think I don't need this because Aria will send a video recording for me."",""persian_1"":""فکر می‌کنم به این نیازی ندارم، زیرا آریا یک ویدیو ضبط شده برای من ارسال خواهد کرد."",""english_2"":""I don't think I need this, as Aria is going to send me a video recording."",""persian_2"":""فکر نمی‌کنم به این نیاز داشته باشم، چرا که آریا قصد دارد یک ویدیو ضبط شده برای من بفرستد."",""english_3"":""I believe I won’t need this, since Aria will send a video recording to me."",""persian_3"":""معتقدم به این نیازی نخواهم داشت، از آنجایی که آریا یک ویدیو ضبط شده برای من ارسال خواهد کرد.""}",7,,
1765967295703-0.9574117973251884,1765967295703,"سلام",persian-to-english,google-translate,"{""english_1"":""hello"",""persian_1"":""سلام"",""english_2"":"""",""persian_2"":"""",""english_3"":"""",""persian_3"":""""}",0,,
1765967312085-0.025344142159064886,1765967312085,"سلام خوبی؟",persian-to-english,google/gemma-3-27b-it:free,"{""english_1"":""Hello, how are you?"",""persian_1"":""سلام، حالت چطوره؟"",""english_2"":""Hi, are you well?"",""persian_2"":""سلام، خوبی؟"",""english_3"":""Hello, how's it going?"",""persian_3"":""سلام، اوضاع چطوره؟""}",4,,
