english_text,persian_translation,timestamp
"Hello","سلام",1765735101730
"this","این",1765735110350
"Try","امتحان کنید",1765735112163
"Give","بده",1765735134926
"Give this a try.","این را امتحان کنید.",1765735151301
"you","شما",1765735184307
"Sure","مطمئنا",1765735186167
"check","بررسی کنید",1765735189539
"Absolutely","کاملا",1765735193313
"سلام","سلام",1765735472656
"hello how are you","سلام چطوری",1765735585049
"how","چگونه",1765735716948
"مهران هم الان عضو تیم شده؟","مهران هم اکنون عضو تیم شده است؟",1765794460114
"What are you doin","چیکار میکنی",1765803947107
"I think I don't need this because Aria will send a video recording for me.","فکر می کنم نیازی به این ندارم چون آریا یک فیلم ضبط شده برای من می فرستد.",1765887489045
"Great, I now have access. Would you recommend I begin with the connector structure design?","عالیه من الان دسترسی دارم آیا توصیه می کنید با طراحی ساختار رابط شروع کنم؟",1765968150060
"Is there anything else scheduled for me?","آیا چیز دیگری برای من برنامه ریزی شده است؟",1765968217565
"Do you have any other plans for me?","آیا برنامه دیگری برای من دارید؟",1765968229076
